DATE,Y,G,T,GSHK_R,T90_MMO,TFPSHK_FRBNY_P,TBILL3
1965-10-01,33.8455425993039,4.32770443652196,5.17395261914479,0,0,0.051035938,4.16666666666667
1966-01-01,34.5853218791086,4.39868615579464,5.51574380603102,0,0,-0.050603013,4.61
1966-04-01,34.5793802474593,4.46739819346057,5.64868136961601,0.126,0,-0.042437816,4.58666666666667
1966-07-01,34.8004860155372,4.66639020632936,5.68119208013528,1.366,0,0.09597954,5.04333333333333
1966-10-01,34.9909581063156,4.66938022491575,5.71075279306243,2.66,0,0.075203684,5.21
1967-01-01,35.1851319350261,4.91391501437998,5.70164184874624,4.656,0,-0.045092742,4.51333333333333
1967-04-01,35.0420633846662,4.86626533928404,5.67524583673923,0.711,0,-0.068285718,3.66
1967-07-01,35.219170565355,4.92547346094308,5.73960130572706,0.448,0,-0.066093399,4.3
1967-10-01,35.3250755759432,4.93765522005469,5.81537152946376,-1.156,0,-0.05077788,4.75333333333333
1968-01-01,35.9142798411066,4.99182424886285,6.03047122469428,0.567,0,0.206949858,5.05
1968-04-01,36.3656777076598,4.95099454609261,6.11478964772916,-2.562,0,0.110092949,5.52
1968-07-01,36.507459445782,4.93395933822358,6.45062388187986,0,0,0.039673798,5.19666666666667
1968-10-01,36.4840397251492,4.88840904168579,6.51662238479162,0,0,-0.238867669,5.58666666666667
1969-01-01,36.9008146358024,4.81460341971206,6.77239354485732,0,0,0.096671238,6.09333333333333
1969-04-01,36.8458294441736,4.7399292981702,6.75567735101299,0,0,0.108357596,6.19666666666667
1969-07-01,36.9262082214102,4.78248172498652,6.53916541707303,0,0,-0.057273755,7.02333333333333
1969-10-01,36.5801127926629,4.65135814336915,6.4555213020093,0,0,0.08247016,7.35333333333333
1970-01-01,36.3495367805264,4.6197660900669,6.13433012258883,-0.482,0,-0.023592399,7.21
1970-04-01,36.191076801476,4.46878763578278,6.06236137540183,-0.285,0,-0.140186932,6.67666666666667
1970-07-01,36.3184296328617,4.42736403958281,5.8552223816537,0,0,0.046237357,6.32666666666667
1970-10-01,35.7223018439165,4.38078935895908,5.72291883297726,0,0,-0.174989713,5.35333333333333
1971-01-01,36.4913022486589,4.28496352162283,5.76686013337686,0,0,-0.032799536,3.84
1971-04-01,36.4712214230916,4.235998475414,5.73421089225812,0,0,-0.045337972,4.25
1971-07-01,36.5720028034366,4.21088866446973,5.66420422123362,0,0,0.035489878,5.01
1971-10-01,36.4535943375707,4.12526183085841,5.6718521980325,0,0,0.030548698,4.23
1972-01-01,36.6759300302365,4.21418536183605,6.10073368859858,0,0,-0.192401053,3.43666666666667
1972-04-01,37.3176651044636,4.24921613081463,6.12335029114619,0,0,0.175712223,3.77
1972-07-01,37.4898702405468,4.03191847930257,6.11178420781888,0,0,-0.051698107,4.22
1972-10-01,37.9877894512548,4.0649135826386,6.2145725236683,0,0,-0.037769412,4.86333333333333
1973-01-01,38.6835421814201,4.11126720534294,6.53478059209906,0,0,0.044460955,5.7
1973-04-01,38.8578423530089,4.02622102320943,6.48867429064673,0,0,-0.096352311,6.60333333333333
1973-07-01,38.4683499073255,3.86883530243851,6.41765190251937,-0.354,0,0.114739209,8.32333333333333
1973-10-01,38.7374708481246,3.87295989784135,6.49691646819457,0.349,0,-0.06705541,7.5
1974-01-01,38.1554946122968,3.90715130585952,6.49912528937995,0,0,-0.105478339,7.61666666666667
1974-04-01,38.1052530460917,3.85759342320084,6.54221944657754,0,0,0.138910202,8.15333333333333
1974-07-01,37.5007642763935,3.85584781405995,6.5674415386607,0,0,0.014540722,8.19
1974-10-01,37.1372560391475,3.88621407823547,6.27505176431929,0,0,-0.273972096,7.36
1975-01-01,36.5098301596046,3.80889633371037,5.98444032502893,0,0,-0.015875936,5.75
1975-04-01,36.6120644659061,3.75451523731733,5.14195711368134,0,0,-0.026150698,5.39333333333333
1975-07-01,37.0261823565095,3.81349322317307,5.97468926901449,0,0,0.07287776,6.33
1975-10-01,37.3416056908675,3.83208213696722,6.01306251248672,0,0,-0.057312447,5.62666666666667
1976-01-01,37.9857010074114,3.78918061134079,6.17828402542955,0.227,0,0.101116656,4.91666666666667
1976-04-01,38.0962099717008,3.75347315220828,6.22973708385692,0,0,-0.094458211,5.15666666666667
1976-07-01,38.1288106503497,3.73689022010478,6.26722367363164,0,0,0.030569296,5.15
1976-10-01,38.2698319872427,3.76307813884793,6.25399053464686,0,0,-0.116420202,4.67333333333333
1977-01-01,38.549027038996,3.76456856631451,6.40674516563823,0,0,-0.060259853,4.63
1977-04-01,39.0505170085086,3.77797939247646,6.53406189548468,0,0,-0.024419732,4.84
1977-07-01,39.4993940483136,3.76442183542814,6.53879513464412,-0.243,0,0.055109581,5.49666666666667
1977-10-01,39.5141396958036,3.76646815101616,6.60364289976997,0,0,-0.01426739,6.11
1978-01-01,39.3998309016541,3.73464894328372,6.58035127506744,0,0,-0.048995345,6.39333333333333
1978-04-01,40.7109665417903,3.78893452546255,6.90389267911472,0,0,0.089696661,6.47666666666667
1978-07-01,40.9068613065148,3.79333384667735,7.03841908246617,0,0,-0.153163701,7.31333333333333
1978-10-01,41.2910872006841,3.7975330713052,7.18163848603283,0,0,0.062997428,8.57
1979-01-01,41.1627179647789,3.7747968623602,7.16836693758518,0.444,-1.34,0.001765584,9.38333333333333
1979-04-01,41.0467346170034,3.76377900007719,7.16163504181354,0,0,-0.093566893,9.37666666666667
1979-07-01,41.2037058945067,3.76418620726169,7.16848099626652,0,0,0.114114638,9.67333333333333
